,Data set,1/sqrt(n),cond,inv(l_min),mu,t,T,h0,h1,delta_mu,delta_sigma
0,BG,0.31622776601683794,47.81616891570688,1478.1242662118352,0.04866062713323779,0.024330313566618893,0.10900491489816257,397.8560142881721,382.7352140124746,6.170571396066073,694165.0835334653
1,JK,0.22360679774997896,47.09986527334644,1005.6716684563897,5.14045717811169,2.570228589055845,0.001183062219050393,304.70931861856513,294.17746857033666,5.431153013888945,584998.9855418581
2,JSE,0.2886751345948129,5534.039408008959,477973.1354494164,0.0442490827536456,0.0221245413768228,0.012093881715145142,1417372.3928851758,1415774.8533142158,2273.78165342532,385362232842056.8
3,Ind5,0.4472135954999579,37.97640711036666,2812.5782342184684,0.022075923278239516,0.011037961639119758,0.22144506848530418,552.8928777707742,535.9093122027768,7.942571704403837,453557.77671448636
4,Ind10,0.31622776601683794,122.6101581856704,4444.619677614731,0.03147125535448333,0.015735627677241664,0.15458653997949756,2711.6222657007197,2672.8495292866937,39.199129896536206,73085845.27800992
5,Ind12,0.2886751345948129,151.977117489463,4345.875126211263,0.034573142480326696,0.017286571240163348,0.1502644555724774,3497.685133214043,3453.813118367442,54.056783269930825,191451325.64303055
6,Ind17,0.24253562503633297,197.45647163153748,3682.459329846504,0.04065829591133977,0.020329147955669886,0.14653794537239767,4402.031293112686,4354.141064348064,78.11102639530415,605247420.0930392
7,Ind30,0.18257418583505536,291.43171531054435,3004.4420037932164,0.055629937800181876,0.027814968900090938,0.13262802181432223,6535.553236882633,6482.345328733297,143.8745272539109,3575914311.955709
8,Ind38,0.1643989873053573,387.9136067335784,3333.307987495225,0.06309199876358053,0.031545999381790264,0.11152367202790998,9185.349582655635,9121.576978546667,192.99384581966694,11297345756.92717
9,Ind48,0.14433756729740646,461.2279742749286,2812.365693138716,0.07270441403340114,0.03635220701670057,0.11412259534532057,10852.573008124626,10786.000484348273,269.0337076947485,26457215389.093136
10,Ind49,0.14285714285714285,812.0016034912804,4843.697890070414,0.07327689689544312,0.03663844844772156,0.11369380699579595,32923.4391067262,32807.438877656015,820.9354659636164,440086232524.9433
