Data set,Condition number,min,median,max,min,median,max,min,median,max,min,median,max
JK,47.09986527334644,0.734885846631557,1.9248489923723608,4.169357949213902,0.7069418363850463,1.8510890964836075,4.090660293336419,1.3049693720762479e-07,0.0024639964249262517,0.012219733796184915,1.543859961226912e-08,0.0002915061078205472,0.0014456705381119608
JSE,5534.039408008959,0.8341122901471072,45.03398021888316,195.1483087479969,0.7726783592991062,45.00831200139945,194.57789990199143,9.010458024705237e-07,0.004067653861993745,0.01718831699754103,1.0897141355069306e-08,4.9193724665101094e-05,0.00020787347265067285
BG,47.81616891570688,0.4321533931681381,2.163604154610081,6.360798476160189,0.1866313048485809,2.107074913248319,6.363166842102836,1.7201381229473012e-07,0.0013009345067365005,0.00556410704382548,1.875035097109387e-08,0.00014180825519489554,0.0006065150147964628
Ind10,122.6101581856704,1.112370170812125,6.588688109084546,18.255475154603907,1.2420287804386605,6.507175852967809,17.821033112956993,2.2681575534422294e-08,0.002054154852865126,0.00929743585804706,3.5062662842588743e-09,0.00031754469128651914,0.0014372584399768087
Ind12,151.977117489463,1.7300307770343615,7.145620644681612,17.964327646569412,1.334598881308962,7.079691289519745,17.813110983502067,4.1410256411411606e-08,0.003395260815181203,0.016767761363122136,6.222489627727423e-09,0.000510187017919766,0.002519598532398769
Ind17,197.45647163153748,1.895852014296129,6.547425143524329,16.3036504218784,1.837475207698043,6.489491307277896,16.137276788450524,3.630175047543427e-08,0.0033525628366863746,0.018860005736549744,5.319583926133298e-09,0.0004912776698198787,0.00276370649034563
Ind30,291.43171531054435,2.2001676402036,6.4569643750083,13.058288644694164,2.251839285442003,6.415124854644442,13.079045888125403,1.0728975070851098e-07,0.0038216755618650086,0.02182526062629052,1.422962739652811e-08,0.0005068612697862965,0.0028946411424469257
Ind38,387.9136067335784,2.177869416492422,5.691266629872817,12.486500302728464,1.950190217989346,5.6520388655834175,12.637971572505114,3.769532376171614e-08,0.00301573076056169,0.015433831935200829,4.203920926648674e-09,0.00033632536826535875,0.0017212376108752224
Ind48,461.2279742749286,2.9609011025612126,6.228364477785115,12.265336634180908,2.9770077228193648,6.194306871022983,12.182305465954888,1.2263946409796223e-07,0.003979863282191982,0.021171991720625963,1.3995933939581207e-08,0.0004541923268832887,0.002416202643787474
Ind49,812.0016034912804,3.074228146886875,7.026252995902243,18.41997172016844,3.0671318582222624,6.994493547728725,18.217999003701173,1.3572894165189697e-07,0.00399744105290485,0.020566404063933487,1.5431540090898865e-08,0.0004544842915460412,0.0023382727742424017
Ind5,37.97640711036666,0.5760565537660793,6.679040102351103,13.495491484800755,0.4262414963232696,6.6019393265108395,13.56081209655829,1.1523241374988835e-08,0.0019381666511620356,0.006840246635597482,2.5517649833439737e-09,0.00042919744680250903,0.0015147388846762713
